id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1241165,John Art,Lunaspe,Philippine Army,-,,,-
1241147,Roykent,Bedia,Philippine Army,-,,,-
1241162,Creszon,Jumawan,Philippine Army,-,,,-
1241142,Jemark,Cortes,Philippine Army,-,,,-
1024634,Emanuel,Rangel,San Francisco, ¬75k,,,-
1179764,Jian ,Capistrano,Tuloy, ¬25k,,,-
1226577,Ben,Connolly,Curzon Ashton,-,,,-
1213027,Thomas ,Romero,San Martín San Juan,-,,,-
833513,Fall,Modou,, ¬25k,Purple Sport GmbH,13720,30-Jun-25
1026180,Christopher Ofosu ,Hesse,Spartak Subotica U19,-,,,29-Sep-25
1018492,Alessio,Romeo,Pierantonio,-,,,-
1276021,Thanh Tai,Nguyen,Long An,-,,,-
1114584,Luca,Dagau,Marseille Air Bel U19,-,Agent is known - Player under 18,,-
1141623,Moses Alexander,Walker,Newport County,-,Agent is known - Player under 18,,-
1026954,Oliver,Taylor,Mansfield Town U18,-,,,-
1022149,Samuel,Baran,Zemplín Michalovce U19,-,,,-
1168591,Lorenzo Maimone,Tacussel,Ajaccio,-,,,-
1179799,Joshua,Jalog,One Taguig, ¬10k,,,-
1154060,Przemyslaw,Mizera ,Legia Warszawa II,-,11-Football Players,5441,-
1226589,Khalid,Lbaibi,Chabab Atlas Khénifra,-,Empire Leaders ...,12805,1-Sep-25
775617,Paul,Petit,Le Havre U17,-,,,-
1009533,Joel,Abuzer Gezer,Bochum U19,-,Agent is known - Player under 18,,30-Jun-25
959723,Jamshid ,Toshpulatov,Paxtakor-79,-,,,-
863672,Maksymilian,Józwiak,PogoD Szczecin II,-,,,-
917531,Tiijan,Zorko,Celje U19,-,,,31-Dec-25
1232326,Jan,Zielinski,Wikielec,-,,,-
668188,Pedro,Silva,,-,,,-
1211187,Hugo,Eichler,Lokomotive Leipzig,-,,,30-Jun-25
714630,Benjamin Cristobal ,Martinez San Martin,Huachipato U20,-,Vibra Futbol,1553,-
1161970,Wilfried Chancy,Ndollo Bille,Montpellier II, ¬200k,,,-
782108,Denis,Kuzmichev,Chertanovo Moskva U18,-,,,-
1179758,Mon ,Diansuy,PFF Youth National Team,-,,,-
990009,Deacon  ,Smalley,Warrington Town,-,,,30-Jun-25
487911,Jackson,Vinicius dos Santos,Brasiliense,-,Impacto Agenciamento,11233,-
1021905,Luciano Nahuel,Gutierrez,Nadur Youngsters,-,,,-
